argentina,australia,austria,azerbaijan,belgium,bosnia and herzegovina,brazil,bulgaria,canada,china,croatia,czech republic,denmark,egypt,estonia,ethiopia,finland,france,germany,greece,india,indonesia,iran,ireland,israel,italy,ivory coast,japan,kenya,liechtenstein,malaysia,mexico,mozambique,namibia,nepal,netherlands,new zealand,nigeria,north korea,norway,pakistan,poland,portugal,romania,russia,serbia,slovenia,south africa,south korea,spain,sweden,switzerland,syria,taiwan,thailand,tunisia,turkey,uganda,ukraine,united arab emirates,united kingdom,united states,uruguay,vietnam
zanella,alpha sports,eurostar automobilwerk,ga,ecar,pretis,abais,litex motors,electrameccanica,baic group,crobus,avia,pvp karting,egy-tech,nobe,holland car,elcat,aixam,ff,elvo,tejas motors,esemka,bahman,shamrock,ail,abarth,baby-brousse,aspark,mobius,orca,assal,autobuses king,matchedje motors   owned by china tong jian investment – built rebadged fudi f   pickups.,uri-automobile,hulas motors,donkervoort,almac,izuogu,pyeonghwa motors,kongsberg,atlas honda,arrinera,umm,dacia,derways,fca srbija,revoz,birkin,ct&t,aspid,volvo cars,mbm,sham car,cmc,akepanich,barkia,anadol,kiira,zaz,devel motors,ac cars,am general,nordex,chienthang
anasagasti,arrow,ktm,khazar,edran,tas,adamo gt,sin cars,htt,baolong,đuro đaković,bureko,zenvo automotive,speranza,,,electric raceabout,alpine,abt sportsline,kioleides,ashok leyland,pindad,diar,tmc costin,plasan,acm,,daihatsu,nyayo,,bufori,cimex,,,,van doorne's automobiel fabrieken,alternative cars,innoson vehicle manufacturing,pyongsang auto works,bjering,honda atlas cars pakistan,fso,portaro,ford românia s.a.,gaz,zastava tervo,atax,harper sports cars,galloper,comarth,koenigsegg,monteverdi,,formosa,c-fee,industries mécaniques maghrébines,devrim,,,shayton,arash,anteros,dellepiane,la dalat
andino,birchfield,magna steyr,naz,gillet,,agrale,bulgaralpine,intermeccanica,beijing automotive industry holding corporation,dok-ing,gordon,anglo-dane,nasr,,,finlandia,bolloré,audi,korres,dc design,timor,iran khodro,alesbury,autocars,alfa romeo,,datsun,,,proton,dina,,,,spyker,chevron,,sungri motors,buddy,faw pakistan,melex,,oltcit,lada,ida-opel,tam,perana,genesis,cupra,polestar,ranger,,luxgen,cherdchai,wallyscar,diardi,,,w motors,ariel,arcimoto,el terruno,thaco
asa,bolwell,öaf,aziz,imperia automobiles,,americar,bulgarrenault,wingho,beijing automobile works,rimac,jawa,brems,,,,korvensuu,bugatti,alpina,namco,eicher motors,,khodro kaveer,gac ireland,kaiser-ilin industries,casalini,,dome,,,perodua,fanasa,,,,vencer,fraser,,,geijer,ghandhara nissan,polski fiat,,aro,uaz,yugo,,puma,hyundai,dsd design and motorsport,nevs,,,thunder power,deva,,etox,,,zarooq motors,aston martin,aurica,grumett,vinfast
eniak,borland racing developments,puch,,adk,,amoritz gt,moskvitch,acadian,beijing automobile works,tvornica motora zagreb,kaipan,dansk,,,,sisu auto,chatenet,artega,replicar hellas,force motors,,kish khodro,,,cizeta,,englon,,,td,grupo electrico motorizado,,,,daf,hulme,,,norsk,ghandhara industries,,,,zil,zastava,,shaka,kia,gta motor,von braun holding company,,,tobe,kwaithong,,evt s,,,,bac,bollinger motors,guitolar,vinaxuki
hispano-argentina,bufori,steyr motors gmbh,,alatac,,avallone,pirin-fiat,amherst,byd,tvornica autobusa zagreb,karosa,krampers,,,,toroidion,citroën,bmw,saracakis,tata motors,,morattab,,,dagger,,lexus,,,inokom,mastretta,,,,spyker,leitch,,,think,heavy industries taxila,,,,izh,,,superformance,renault samsung,hurtan,allevo   /,,,yue long/yulon/yln,mine,,imza,,,,bentley,bremach,indio,
"industrias aeronáuticas y mecánicas del estado  , not to be confused with italian american motor engineering",bullet,rosenbauer,,alberta,,bianco,sofia,asüna,chang'an motors,,mtx / metalex,,,,,valmet automotive,de la chapelle,bmw m,temax,mahindra & mahindra,,mvm,,,de tomaso,,honda,,,naza,vam,,,,eysink,saker,,,troll,hinopak,,,,moskvitch,,,uri international vehicle & equipment marketing,ssangyong,seat,vagnsaktiebolaget i södertelge,,,,siam v.m.c.,,özaltin,,,,bristol,buick,industrias warv,
"industrias kaiser argentina  , united kingdom",carbontech,tushek&spigel supercars,,alfa legia,,brm buggy,,beaumont,changhe,,mw motors,,,,,vanaja,ds,borgward,alta,maruti suzuki,,pars khodro,,,dr,,acura,,,hicom,vhul,,,,,anziel,,,,master,,,,russo-balt,,,badsey,edison motors,spania gta,rengsjöbilen,,,,thai rung,,sazan,,,,caterham cars,bxr,lima,
,daytona,austro-daimler,,alp,,bugre,,bourassa,hafei,,praga,,,,,valtra,goupil,citycom,attica,kia motors,,paykan,,,ferrari,,isuzu,,,mildef,zacua,,,,,beattie   thence redline,,,,millat tractors,,,,marussia,,,eagle,asia,tramontana,saab,,,,vera,,tofaş,,,,david brown,cadillac,mauser,
,devaux,austro-tatra,,altona,,centaurus,,bricklin,changhe,,škoda,,,,,veemax,ligier,cityel,autokinitoviomihania ellados,hindustan motors,,reyan,,,fiat,,mazda,,,mykar,,,,,,carlton,,,,pak suzuki,,,,,,,gsm,daewoo,tauro sport auto,hult healey,,,,,,togg,,,,dendrobium,chevrolet,metalurgica laguarda,
