africa ,asia ,europe ,oceania ,north america ,south america 
snvi,aftab automobiles,magna steyr,alpha sports,general motors,chamonix
egy-tech engineering,bmtf,ganja auto plant,bolwell,buick,fabral
kantanka cars,jamuna automobiles,khazar,borland racing developments,cadillac,tac
mobius motors,niloy-hero motors venture between hero motocorp and niloy motors,naz,devaux cars,chevrolet,troller
laraki,php automobiles,belgee,elfin sports cars,gmc,
innoson vehicle manufacturing,runner automobiles,edran,holden,chrysler part of stellantis a multinational company based in amsterdam netherlands,
birkin,walton hi-tech industries limited,gillet,jacer,chrysler,
perana,baic,impéria,minetti sports cars,dodge,
puma,brilliance,litex,nota sports and racing cars,jeep,
uri,byd,sin cars,prb,ram,
wallyscar,byton,rimac,chevron engineering,ford motor company,
kiira motors corporation,changan,dok-ing,hulme supercars,ford,
,chery,kaipan,turnbull engineering,lincoln,
,dongfeng,škoda,,callaway cars,
,faw,tatra,,equus automotive,
,geely,kewet,,falcon motorsports,
,great wall,zenvo,,hennessey special vehicles,
,hafei,electric raceabout,,karma automotive,
,jac,bugatti,,local motors,
,lifan,citroën,,lucid motors,
,qoros,ds automobiles,,panoz,
,saic,peugeot,,rivian,
,soueast,renault,,rossion automotive,
,zotye,audi,,saleen automotive,
,zx,bmw,,shelby american,
,ashok leyland,ford germany,,ssc north america,
,asia motorworks,mercedes-benz,,tesla,
,ather energy,opel,,cami,
,atul auto,porsche,,campagna,
,bajaj auto,volkswagen,,canadian electric vehicles,
,eicher,alpina,,htt automobile,
,escorts group,apal,,timmis,
,force motors,bitter,,,
,hindustan motors,borgward,,,
,hero motocorp,cityel,,,
,hradyesh,gumpert,,,
,icml,isdera,,,
,kinetic engineering,jetcar,,,
,mahindra,keinath,,,
,maruti suzuki,lotec,,,
,premier automobiles,mansory,,,
,punjab tractors ltd.,melkus,,,
,royal enfield,pegasus,,,
,sonalika group,ruf automobile,,,
,tafe tractors,weineck engineering,,,
,tata,yes!,,,
,tvs motors,keraboss,,,
,jaguar range rover land rover,korres,,,
,esemka,namco,,,
,pindad,replicar hellas,,,
,diar,tropical,,,
,iran khodro,magyar suzuki,,,
,saipa,abarth,,,
,tomcar,alfa romeo,,,
,zibar,ferrari,,,
,acura,fiat,,,
,daihatsu,lamborghini,,,
,datsun,lancia,,,
,honda,maserati,,,
,infiniti,alkè,,,
,lexus,automobili pininfarina,,,
,mazda,casalini,,,
,mitsubishi,dallara,,,
,nissan,dr automobiles,,,
,subaru,giotti victoria,,,
,suzuki,italcar,,,
,toyota,mazzanti automobili,,,
,"w motors in lebanon, later moved to the uae",pagani,,,
,bufori,picchio,,,
,perodua,spada vetture sport,,,
,proton,tazzari,,,
,td,venturi,,,
,pyeonghwa,vdl nedcar,,,
,sungri,burton–present,,,
,pak suzuki,carver,,,
,prince,donkervoort,,,
,united,spyker cars,,,
,ct&t,waaijenberg,,,
,hyundai,buddy,,,
,genesis,fresco motors,,,
,kia,arrinera,,,
,daewoo,asterio,,,
,ssangyong,bravia,,,
,micro,vinci,,,
,vega innovations,dacia,,,
,cmc,aro      -,,,
,luxgen,avtovaz,,,
,thai rung,lada,,,
,w motors in lebanon before moving to dubai,gaz,,,
,zarooq motors,kamaz,,,
,mekong auto,nami,,,
,samco,aurus,,,
,thaco,uaz,,,
,vinaxuki,aleko,,,
,vinfast,avtokam,,,
,world auto,avtotor,,,
,,derways automobile company,,,
,,ford sollers,,,
,,gm-avtovaz,,,
,,kombat armouring,,,
,,seaz,,,
,,silant,,,
,,sollers jsc,,,
,,spetstekh,,,
,,vazinterservice,,,
,,yarovit motors,,,
,,k-,,,
,,revoz,,,
,,aspid,,,
,,comarth,,,
,,hurtan,,,
,,seat,,,
,,tauro,,,
,,tramontana,,,
,,koenigsegg,,,
,,nevs,,,
,,uniti,,,
,,volvo,,,
,,albar,,,
,,gmur,,,
,,orca,,,
,,rinspeed,,,
,,sbarro,,,
,,çenberci diardi,,,
,,etox,,,
,,togg,,,
,,zaz,,,
,,aston martin,,,
,,bentley,,,
,,caterham,,,
,,jaguar,,,
,,land rover,,,
,,lotus,,,
,,mclaren,,,
,,mini,,,
,,morgan,,,
,,rolls-royce,,,
,,vauxhall,,,
